################################################################################
1/30: 	1.857145611483373
2/30: 	1.800002680772929
3/30: 	1.8000025985466837
4/30: 	2.0000024169218067
5/30: 	1.7500022982781138
6/30: 	2.0000027865393215
7/30: 	1.7500024912230077
8/30: 	1.750002495173657
9/30: 	1.8000029652386726
10/30: 	1.7500023411369978
11/30: 	1.6666691605895612
12/30: 	1.6666689757781423
13/30: 	1.666669091773134
14/30: 	2.000002244151129
15/30: 	1.7500024018829756
16/30: 	1.8000021732169436
17/30: 	1.8000020987044034
18/30: 	1.800001936557232
19/30: 	1.666669165825354
20/30: 	1.8000027113553476
21/30: 	1.8000022773760227
22/30: 	1.8000023674148744
23/30: 	1.6666691413419892
24/30: 	1.8000021615618897
25/30: 	1.800002735572872
26/30: 	1.800002206973803
27/30: 	1.8000021979931558
28/30: 	1.8000022854128146
29/30: 	1.7500021721016923
30/30: 	1.6666693791038685
